student_id,learning_score,product_engagement
S104,63.8,53.6
S105,81.9,66.09
S106,30.6,63.84
S107,68.5,59.88
S108,71.3,54.11
S109,25.7,56.58
S110,32.1,76.52
S111,93.5,57.33
S112,73.4,57.85
S113,38.0,78.67
S114,83.2,65.27
S115,30.3,58.7
S116,69.1,40.88
S117,83.7,61.15
S118,98.4,54.47
S119,24.6,78.32
S120,70.1,65.89
S121,39.0,66.93
S122,58.4,77.84
S123,82.9,58.19
S124,48.1,63.04
S125,34.8,71.0
S126,68.2,75.5
S127,50.8,61.42
S128,88.1,75.09
S129,60.5,45.6
S130,69.6,53.87
S131,84.5,71.06
S132,45.2,70.8
S133,92.0,72.34
S134,38.1,56.44
S135,49.9,69.71
S136,47.3,74.64
S137,61.5,52.83
S138,73.2,55.26
S139,43.5,68.26
S140,42.6,59.82
S141,98.9,64.59
S142,97.9,74.06
S143,34.8,43.53
S144,80.8,40.4
S145,31.0,76.68
S146,57.1,64.23
S147,60.7,49.8
S148,24.2,79.22
S149,31.7,49.78
S150,96.4,64.09
S151,63.1,46.36
S152,58.7,60.21
S153,85.5,54.49
S154,92.1,44.98
S155,88.4,45.66
S156,22.1,49.12
S157,93.3,44.44
S158,44.0,54.34
S159,91.6,45.99
S160,55.5,54.05
S161,83.0,56.51
S162,70.8,74.07
S163,92.1,56.86
S164,46.7,79.61
S165,25.6,60.58
S166,55.3,62.32
S167,82.8,66.3
S168,53.2,74.44
S169,36.1,68.77
S170,91.0,73.7
S171,96.6,72.91
S172,81.7,57.91
S173,93.6,40.77
S174,42.6,40.76
S175,72.5,46.44
S176,85.8,67.46
S177,82.2,65.09
S178,48.2,55.88
S179,47.5,62.63
S180,66.5,57.49
S181,86.3,40.47
S182,74.7,69.57
S183,55.9,52.5
S184,49.2,59.54
S185,46.9,61.05
S186,28.5,71.29
S187,54.8,53.79
S188,41.5,78.56
S189,90.9,59.17
S190,84.6,61.71
S191,41.3,58.16
S192,35.7,41.42
S193,56.1,77.08
S194,96.8,60.63
S195,65.3,60.88
S196,80.2,63.64
S197,99.2,66.68
S198,80.2,79.6
S199,45.6,52.91
S200,56.3,63.42
S201,79.0,41.55
S202,31.3,76.47
S203,67.4,68.43
S204,38.7,46.09
S205,50.7,68.63
S206,62.1,62.78
S207,61.5,54.62
S208,37.2,75.37
S209,44.4,61.14
S210,81.4,77.26
S211,58.3,60.45
S212,98.5,73.03
S213,88.8,55.95
S214,69.2,57.66
S215,30.9,45.92
S216,47.7,70.32
S217,77.0,71.36
S218,84.2,72.7
S219,96.8,61.24
S220,81.4,47.88
S221,21.5,47.19
S222,92.1,65.93
S223,71.6,46.07
S224,73.2,60.02
S225,96.2,76.72
S226,95.0,64.7
S227,80.8,64.79
S228,26.8,66.17
S229,36.9,77.95
S230,30.3,51.64
S231,48.5,75.14
S232,91.7,48.2
S233,78.6,62.13
S234,44.9,64.32
S235,63.2,47.35
S236,82.7,52.0
S237,49.9,46.39
S238,83.5,76.68
S239,37.9,77.2
S240,84.4,73.84
S241,24.3,61.03
S242,82.8,71.48
S243,73.8,61.99
S244,69.0,60.36
S245,69.4,46.94
S246,77.0,76.09
S247,50.2,72.7
S248,98.7,72.42
S249,81.9,64.44
S250,67.6,65.24
S251,70.5,75.62
S252,98.6,70.67
S253,73.6,71.96
S254,86.4,71.67
S255,57.3,40.8
S256,82.8,58.83
S257,50.7,52.03
S258,72.3,71.53
S259,33.9,73.22
S260,48.6,78.06
S261,31.0,71.35
S262,58.6,72.68
S263,31.7,69.07
S264,32.1,55.01
S265,76.2,60.82
S266,75.3,70.8
S267,48.3,46.13
S268,84.4,78.0
S269,64.9,44.79
S270,45.8,79.61
S271,77.3,50.6
S272,55.6,46.62
S273,89.0,40.37
S274,87.8,47.5
S275,38.4,51.48
S276,60.6,42.7
S277,27.8,62.17
S278,83.4,63.35
S279,84.9,63.0
S280,31.5,47.78
S281,28.5,41.19
S282,22.1,78.33
S283,56.4,57.22
S284,27.6,51.84
S285,25.8,71.84
S286,60.5,78.94
S287,51.3,54.72
S288,95.6,44.11
S289,99.6,68.92
S290,65.4,51.37
S291,61.1,51.67
S292,45.0,68.47
S293,53.8,78.27
S294,76.4,43.11
S295,98.4,56.87
S296,77.8,48.36
S297,87.4,50.64
S298,87.3,53.58
S299,28.3,75.97
S300,95.2,43.39
