student_id,learning_score,product_engagement
S223,93.37,106.22
S224,77.59,82.25
S225,100,83.96
S226,100,87.37
S227,100,74.54
S228,37.4,58.48
S229,46.15,86.81
S230,36.05,87.67
S231,62.18,85.74
S232,100,85.27
S233,97.79,73.32
S234,53.16,48.84
S235,72.97,74.46
S236,88.94,56.78
S237,58.65,93.4
S238,90.2,51.87
S239,56.32,80.1
S240,90.24,53.29
S241,40.9,101.03
S242,93.04,67.08
S243,91.32,93.84
S244,73.24,47.71
S245,79.66,74.85
S246,86.0,82.02
S247,69.61,84.77
S248,100,72.42
S249,93.73,92.76
S250,76.16,48.36
S251,85.75,81.31
S252,100,56.52
S253,93.53,83.35
S254,96.46,61.5
S255,76.78,65.66
S256,89.13,64.37
S257,69.28,83.33
S258,83.87,77.91
S259,43.59,70.12
S260,60.2,78.35
S261,43.25,87.66
S262,63.21,82.15
S263,46.67,91.26
S264,44.09,60.42
S265,88.96,92.35
S266,85.93,58.4
S267,57.84,85.36
S268,91.38,59.77
S269,74.38,97.66
S270,50.51,77.62
S271,96.67,69.46
S272,67.35,84.28
S273,100,75.74
S274,95.92,73.87
S275,56.28,68.72
S276,72.15,74.98
S277,48.61,73.31
S278,93.09,66.18
S279,92.97,82.38
S280,36.49,56.7
S281,47.57,63.1
S282,32.01,64.67
S283,78.0,73.74
S284,35.31,75.59
S285,45.96,86.4
S286,72.03,53.2
S287,70.21,73.33
S288,100,65.61
S289,100,77.08
S290,76.34,93.61
S291,76.67,52.99
S292,48.7,53.42
S293,67.54,68.3
S294,84.93,65.19
S295,100,64.12
S296,81.02,77.17
S297,97.35,87.21
S298,90.7,88.94
S299,36.69,58.28
S300,100,59.24
