student_id,cohort,assignment,seed
S067,treatment,individual_randomized,20260825
S068,control,individual_randomized,20260825
S069,treatment,individual_randomized,20260825
S070,control,individual_randomized,20260825
S071,treatment,individual_randomized,20260825
S072,control,individual_randomized,20260825
S073,treatment,individual_randomized,20260825
S074,control,individual_randomized,20260825
S075,treatment,individual_randomized,20260825
S076,control,individual_randomized,20260825
S077,treatment,individual_randomized,20260825
S078,control,individual_randomized,20260825
S079,treatment,individual_randomized,20260825
S080,control,individual_randomized,20260825
S081,treatment,individual_randomized,20260825
S082,control,individual_randomized,20260825
S083,treatment,individual_randomized,20260825
S084,control,individual_randomized,20260825
S085,treatment,individual_randomized,20260825
S086,control,individual_randomized,20260825
S087,treatment,individual_randomized,20260825
S088,control,individual_randomized,20260825
S089,treatment,individual_randomized,20260825
S090,control,individual_randomized,20260825
S091,treatment,individual_randomized,20260825
S092,control,individual_randomized,20260825
S093,treatment,individual_randomized,20260825
S094,control,individual_randomized,20260825
S095,treatment,individual_randomized,20260825
S096,control,individual_randomized,20260825
S097,treatment,individual_randomized,20260825
S098,control,individual_randomized,20260825
S099,treatment,individual_randomized,20260825
S100,control,individual_randomized,20260825
S101,treatment,individual_randomized,20260825
S102,control,individual_randomized,20260825
S103,treatment,individual_randomized,20260825
S104,control,individual_randomized,20260825
S105,treatment,individual_randomized,20260825
S106,control,individual_randomized,20260825
S107,treatment,individual_randomized,20260825
S108,control,individual_randomized,20260825
S109,treatment,individual_randomized,20260825
S110,control,individual_randomized,20260825
S111,treatment,individual_randomized,20260825
S112,control,individual_randomized,20260825
S113,treatment,individual_randomized,20260825
S114,control,individual_randomized,20260825
S115,treatment,individual_randomized,20260825
S116,control,individual_randomized,20260825
S117,treatment,individual_randomized,20260825
S118,control,individual_randomized,20260825
S119,treatment,individual_randomized,20260825
S120,control,individual_randomized,20260825
S121,treatment,individual_randomized,20260825
S122,control,individual_randomized,20260825
S123,treatment,individual_randomized,20260825
S124,control,individual_randomized,20260825
S125,treatment,individual_randomized,20260825
S126,control,individual_randomized,20260825
S127,treatment,individual_randomized,20260825
S128,control,individual_randomized,20260825
S129,treatment,individual_randomized,20260825
S130,control,individual_randomized,20260825
S131,treatment,individual_randomized,20260825
S132,control,individual_randomized,20260825
S133,treatment,individual_randomized,20260825
S134,control,individual_randomized,20260825
S135,treatment,individual_randomized,20260825
S136,control,individual_randomized,20260825
S137,treatment,individual_randomized,20260825
S138,control,individual_randomized,20260825
S139,treatment,individual_randomized,20260825
S140,control,individual_randomized,20260825
S141,treatment,individual_randomized,20260825
S142,control,individual_randomized,20260825
S143,treatment,individual_randomized,20260825
S144,control,individual_randomized,20260825
S145,treatment,individual_randomized,20260825
S146,control,individual_randomized,20260825
S147,treatment,individual_randomized,20260825
S148,control,individual_randomized,20260825
S149,treatment,individual_randomized,20260825
S150,control,individual_randomized,20260825
S151,treatment,individual_randomized,20260825
S152,control,individual_randomized,20260825
S153,treatment,individual_randomized,20260825
S154,control,individual_randomized,20260825
S155,treatment,individual_randomized,20260825
S156,control,individual_randomized,20260825
S157,treatment,individual_randomized,20260825
S158,control,individual_randomized,20260825
S159,treatment,individual_randomized,20260825
S160,control,individual_randomized,20260825
S161,treatment,individual_randomized,20260825
S162,control,individual_randomized,20260825
S163,treatment,individual_randomized,20260825
S164,control,individual_randomized,20260825
S165,treatment,individual_randomized,20260825
S166,control,individual_randomized,20260825
S167,treatment,individual_randomized,20260825
S168,control,individual_randomized,20260825
S169,treatment,individual_randomized,20260825
S170,control,individual_randomized,20260825
S171,treatment,individual_randomized,20260825
S172,control,individual_randomized,20260825
S173,treatment,individual_randomized,20260825
S174,control,individual_randomized,20260825
S175,treatment,individual_randomized,20260825
S176,control,individual_randomized,20260825
S177,treatment,individual_randomized,20260825
S178,control,individual_randomized,20260825
S179,treatment,individual_randomized,20260825
S180,control,individual_randomized,20260825
S181,treatment,individual_randomized,20260825
S182,control,individual_randomized,20260825
S183,treatment,individual_randomized,20260825
S184,control,individual_randomized,20260825
S185,treatment,individual_randomized,20260825
S186,control,individual_randomized,20260825
S187,treatment,individual_randomized,20260825
S188,control,individual_randomized,20260825
S189,treatment,individual_randomized,20260825
S190,control,individual_randomized,20260825
S191,treatment,individual_randomized,20260825
S192,control,individual_randomized,20260825
S193,treatment,individual_randomized,20260825
S194,control,individual_randomized,20260825
S195,treatment,individual_randomized,20260825
S196,control,individual_randomized,20260825
S197,treatment,individual_randomized,20260825
S198,control,individual_randomized,20260825
S199,treatment,individual_randomized,20260825
S200,control,individual_randomized,20260825
S201,treatment,individual_randomized,20260825
S202,control,individual_randomized,20260825
S203,treatment,individual_randomized,20260825
S204,control,individual_randomized,20260825
S205,treatment,individual_randomized,20260825
S206,control,individual_randomized,20260825
S207,treatment,individual_randomized,20260825
S208,control,individual_randomized,20260825
S209,treatment,individual_randomized,20260825
S210,control,individual_randomized,20260825
S211,treatment,individual_randomized,20260825
S212,control,individual_randomized,20260825
S213,treatment,individual_randomized,20260825
S214,control,individual_randomized,20260825
S215,treatment,individual_randomized,20260825
S216,control,individual_randomized,20260825
S217,treatment,individual_randomized,20260825
S218,control,individual_randomized,20260825
S219,treatment,individual_randomized,20260825
S220,control,individual_randomized,20260825
S221,treatment,individual_randomized,20260825
S222,control,individual_randomized,20260825
S223,treatment,individual_randomized,20260825
S224,control,individual_randomized,20260825
S225,treatment,individual_randomized,20260825
S226,control,individual_randomized,20260825
S227,treatment,individual_randomized,20260825
S228,control,individual_randomized,20260825
S229,treatment,individual_randomized,20260825
S230,control,individual_randomized,20260825
S231,treatment,individual_randomized,20260825
S232,control,individual_randomized,20260825
S233,treatment,individual_randomized,20260825
S234,control,individual_randomized,20260825
S235,treatment,individual_randomized,20260825
S236,control,individual_randomized,20260825
S237,treatment,individual_randomized,20260825
S238,control,individual_randomized,20260825
S239,treatment,individual_randomized,20260825
S240,control,individual_randomized,20260825
S241,treatment,individual_randomized,20260825
S242,control,individual_randomized,20260825
S243,treatment,individual_randomized,20260825
S244,control,individual_randomized,20260825
S245,treatment,individual_randomized,20260825
S246,control,individual_randomized,20260825
S247,treatment,individual_randomized,20260825
S248,control,individual_randomized,20260825
S249,treatment,individual_randomized,20260825
S250,control,individual_randomized,20260825
S251,treatment,individual_randomized,20260825
S252,control,individual_randomized,20260825
S253,treatment,individual_randomized,20260825
S254,control,individual_randomized,20260825
S255,treatment,individual_randomized,20260825
S256,control,individual_randomized,20260825
S257,treatment,individual_randomized,20260825
S258,control,individual_randomized,20260825
S259,treatment,individual_randomized,20260825
S260,control,individual_randomized,20260825
S261,treatment,individual_randomized,20260825
S262,control,individual_randomized,20260825
S263,treatment,individual_randomized,20260825
S264,control,individual_randomized,20260825
S265,treatment,individual_randomized,20260825
S266,control,individual_randomized,20260825
S267,treatment,individual_randomized,20260825
S268,control,individual_randomized,20260825
S269,treatment,individual_randomized,20260825
S270,control,individual_randomized,20260825
S271,treatment,individual_randomized,20260825
S272,control,individual_randomized,20260825
S273,treatment,individual_randomized,20260825
S274,control,individual_randomized,20260825
S275,treatment,individual_randomized,20260825
S276,control,individual_randomized,20260825
S277,treatment,individual_randomized,20260825
S278,control,individual_randomized,20260825
S279,treatment,individual_randomized,20260825
S280,control,individual_randomized,20260825
S281,treatment,individual_randomized,20260825
S282,control,individual_randomized,20260825
S283,treatment,individual_randomized,20260825
S284,control,individual_randomized,20260825
S285,treatment,individual_randomized,20260825
S286,control,individual_randomized,20260825
S287,treatment,individual_randomized,20260825
S288,control,individual_randomized,20260825
S289,treatment,individual_randomized,20260825
S290,control,individual_randomized,20260825
S291,treatment,individual_randomized,20260825
S292,control,individual_randomized,20260825
S293,treatment,individual_randomized,20260825
S294,control,individual_randomized,20260825
S295,treatment,individual_randomized,20260825
S296,control,individual_randomized,20260825
S297,treatment,individual_randomized,20260825
S298,control,individual_randomized,20260825
S299,treatment,individual_randomized,20260825
S300,control,individual_randomized,20260825
