student_id,name,eal,language_support,initial_mastery,initial_tier
S131,Student 131,false,false,0.845,t3
S132,Student 132,false,false,0.452,t1
S133,Student 133,false,false,0.92,t3
S134,Student 134,false,false,0.381,t1
S135,Student 135,false,false,0.499,t1
S136,Student 136,false,false,0.473,t1
S137,Student 137,false,false,0.615,t2
S138,Student 138,false,false,0.732,t2
S139,Student 139,false,false,0.435,t1
S140,Student 140,false,false,0.426,t1
S141,Student 141,false,false,0.989,t3
S142,Student 142,false,false,0.979,t3
S143,Student 143,false,false,0.348,t1
S144,Student 144,false,false,0.808,t3
S145,Student 145,false,false,0.31,t1
S146,Student 146,false,false,0.571,t2
S147,Student 147,false,false,0.607,t2
S148,Student 148,false,false,0.242,t1
S149,Student 149,false,false,0.317,t1
S150,Student 150,false,false,0.964,t3
S151,Student 151,false,false,0.631,t2
S152,Student 152,false,false,0.587,t2
S153,Student 153,false,false,0.855,t3
S154,Student 154,false,false,0.921,t3
S155,Student 155,false,false,0.884,t3
S156,Student 156,false,false,0.221,t1
S157,Student 157,false,false,0.933,t3
S158,Student 158,false,false,0.44,t1
S159,Student 159,false,false,0.916,t3
S160,Student 160,false,false,0.555,t2
S161,Student 161,false,false,0.83,t3
S162,Student 162,false,false,0.708,t2
S163,Student 163,false,false,0.921,t3
S164,Student 164,false,false,0.467,t1
S165,Student 165,false,false,0.256,t1
S166,Student 166,false,false,0.553,t2
S167,Student 167,false,false,0.828,t3
S168,Student 168,false,false,0.532,t2
S169,Student 169,false,false,0.361,t1
S170,Student 170,false,false,0.91,t3
S171,Student 171,false,false,0.966,t3
S172,Student 172,false,false,0.817,t3
S173,Student 173,false,false,0.936,t3
S174,Student 174,false,false,0.426,t1
S175,Student 175,false,false,0.725,t2
S176,Student 176,false,false,0.858,t3
S177,Student 177,false,false,0.822,t3
S178,Student 178,false,false,0.482,t1
S179,Student 179,false,false,0.475,t1
S180,Student 180,false,false,0.665,t2
S181,Student 181,false,false,0.863,t3
S182,Student 182,false,false,0.747,t2
S183,Student 183,false,false,0.559,t2
S184,Student 184,false,false,0.492,t1
S185,Student 185,false,false,0.469,t1
S186,Student 186,false,false,0.285,t1
S187,Student 187,false,false,0.548,t2
S188,Student 188,false,false,0.415,t1
S189,Student 189,false,false,0.909,t3
S190,Student 190,false,false,0.846,t3
S191,Student 191,false,false,0.413,t1
S192,Student 192,false,false,0.357,t1
S193,Student 193,false,false,0.561,t2
S194,Student 194,false,false,0.968,t3
S195,Student 195,false,false,0.653,t2
S196,Student 196,false,false,0.802,t3
S197,Student 197,false,false,0.992,t3
S198,Student 198,false,false,0.802,t3
S199,Student 199,false,false,0.456,t1
S200,Student 200,false,false,0.563,t2
S201,Student 201,false,false,0.79,t2
S202,Student 202,false,false,0.313,t1
S203,Student 203,false,false,0.674,t2
S204,Student 204,false,false,0.387,t1
S205,Student 205,false,false,0.507,t2
S206,Student 206,false,false,0.621,t2
S207,Student 207,false,false,0.615,t2
S208,Student 208,false,false,0.372,t1
S209,Student 209,false,false,0.444,t1
S210,Student 210,false,false,0.814,t3
S211,Student 211,false,false,0.583,t2
S212,Student 212,false,false,0.985,t3
S213,Student 213,false,false,0.888,t3
S214,Student 214,false,false,0.692,t2
S215,Student 215,false,false,0.309,t1
S216,Student 216,false,false,0.477,t1
S217,Student 217,false,false,0.77,t2
S218,Student 218,false,false,0.842,t3
S219,Student 219,false,false,0.968,t3
S220,Student 220,false,false,0.814,t3
S221,Student 221,false,false,0.215,t1
S222,Student 222,false,false,0.921,t3
S223,Student 223,false,false,0.716,t2
S224,Student 224,false,false,0.732,t2
S225,Student 225,false,false,0.962,t3
S226,Student 226,false,false,0.95,t3
S227,Student 227,false,false,0.808,t3
S228,Student 228,false,false,0.268,t1
S229,Student 229,false,false,0.369,t1
S230,Student 230,false,false,0.303,t1
S231,Student 231,false,false,0.485,t1
S232,Student 232,false,false,0.917,t3
S233,Student 233,false,false,0.786,t2
S234,Student 234,false,false,0.449,t1
S235,Student 235,false,false,0.632,t2
S236,Student 236,false,false,0.827,t3
S237,Student 237,false,false,0.499,t1
S238,Student 238,false,false,0.835,t3
S239,Student 239,false,false,0.379,t1
S240,Student 240,false,false,0.844,t3
S241,Student 241,false,false,0.243,t1
S242,Student 242,false,false,0.828,t3
S243,Student 243,false,false,0.738,t2
S244,Student 244,false,false,0.69,t2
S245,Student 245,false,false,0.694,t2
S246,Student 246,false,false,0.77,t2
S247,Student 247,false,false,0.502,t2
S248,Student 248,false,false,0.987,t3
S249,Student 249,false,false,0.819,t3
S250,Student 250,false,false,0.676,t2
S251,Student 251,false,false,0.705,t2
S252,Student 252,false,false,0.986,t3
S253,Student 253,false,false,0.736,t2
S254,Student 254,false,false,0.864,t3
S255,Student 255,false,false,0.573,t2
S256,Student 256,false,false,0.828,t3
S257,Student 257,false,false,0.507,t2
S258,Student 258,false,false,0.723,t2
S259,Student 259,false,false,0.339,t1
S260,Student 260,false,false,0.486,t1
S261,Student 261,false,false,0.31,t1
S262,Student 262,false,false,0.586,t2
S263,Student 263,false,false,0.317,t1
S264,Student 264,false,false,0.321,t1
S265,Student 265,false,false,0.762,t2
S266,Student 266,false,false,0.753,t2
S267,Student 267,false,false,0.483,t1
S268,Student 268,false,false,0.844,t3
S269,Student 269,false,false,0.649,t2
S270,Student 270,false,false,0.458,t1
S271,Student 271,false,false,0.773,t2
S272,Student 272,false,false,0.556,t2
S273,Student 273,false,false,0.89,t3
S274,Student 274,false,false,0.878,t3
S275,Student 275,false,false,0.384,t1
S276,Student 276,false,false,0.606,t2
S277,Student 277,false,false,0.278,t1
S278,Student 278,false,false,0.834,t3
S279,Student 279,false,false,0.849,t3
S280,Student 280,false,false,0.315,t1
S281,Student 281,false,false,0.285,t1
S282,Student 282,false,false,0.221,t1
S283,Student 283,false,false,0.564,t2
S284,Student 284,false,false,0.276,t1
S285,Student 285,false,false,0.258,t1
S286,Student 286,false,false,0.605,t2
S287,Student 287,false,false,0.513,t2
S288,Student 288,false,false,0.956,t3
S289,Student 289,false,false,0.996,t3
S290,Student 290,false,false,0.654,t2
S291,Student 291,false,false,0.611,t2
S292,Student 292,false,false,0.45,t1
S293,Student 293,false,false,0.538,t2
S294,Student 294,false,false,0.764,t2
S295,Student 295,false,false,0.984,t3
S296,Student 296,false,false,0.778,t2
S297,Student 297,false,false,0.874,t3
S298,Student 298,false,false,0.873,t3
S299,Student 299,false,false,0.283,t1
S300,Student 300,false,false,0.952,t3
